State,Action,NextState,Reward
42,Real_Estates,52.0,3.9512437185814275
12,Commodities,8.0,2.0794415416798357
21,Forex,26.0,3.258096538021482
36,Commodities,31.0,3.4339872044851463
78,Real_Estates,86.0,4.454347296253507
3,Real_Estates,19.0,19.0
36,Cryptocurrencies,34.0,3.5263605246161616
15,Stocks,12.0,2.4849066497880004
48,Cryptocurrencies,49.0,3.8918202981106265
95,Cryptocurrencies,100.0,4.605170185988092
62,Real_Estates,51.0,3.9318256327243257
20,Cryptocurrencies,11.0,2.3978952727983707
38,Stocks,40.0,3.6888794541139363
80,Commodities,77.0,4.343805421853684
66,Forex,62.0,4.127134385045092
2,Stocks,-3.0,-3.0
14,Forex,20.0,2.995732273553991
24,Cryptocurrencies,24.0,3.1780538303479458
21,Stocks,17.0,2.833213344056216
16,Cryptocurrencies,14.0,2.6390573296152584
18,Stocks,18.0,2.8903717578961645
71,Forex,75.0,4.31748811353631
56,Real_Estates,53.0,3.970291913552122
29,Stocks,28.0,3.332204510175204
30,Cryptocurrencies,37.0,3.6109179126442243
92,Cryptocurrencies,97.0,4.574710978503383
9,Stocks,11.0,2.3978952727983707
82,Forex,77.0,4.343805421853684
3,Stocks,5.0,5.0
27,Cryptocurrencies,27.0,3.295836866004329
25,Commodities,31.0,3.4339872044851463
80,Stocks,80.0,4.382026634673881
47,Forex,41.0,3.713572066704308
47,Commodities,42.0,3.7376696182833684
15,Stocks,13.0,2.5649493574615367
20,Stocks,17.0,2.833213344056216
21,Real_Estates,37.0,3.6109179126442243
38,Commodities,36.0,3.58351893845611
77,Real_Estates,62.0,4.127134385045092
54,Forex,53.0,3.970291913552122
55,Real_Estates,53.0,3.970291913552122
95,Cryptocurrencies,102.0,4.624972813284271
94,Forex,99.0,4.59511985013459
7,Commodities,11.0,11.0
72,Cryptocurrencies,80.0,4.382026634673881
1,Stocks,2.0,2.0
13,Stocks,9.0,2.1972245773362196
28,Stocks,29.0,3.367295829986474
90,Stocks,91.0,4.51085950651685
38,Commodities,42.0,3.7376696182833684
73,Commodities,76.0,4.330733340286331
78,Stocks,78.0,4.356708826689592
98,Forex,99.0,4.59511985013459
32,Cryptocurrencies,25.0,3.2188758248682006
34,Forex,36.0,3.58351893845611
3,Cryptocurrencies,9.0,9.0
50,Stocks,50.0,3.912023005428146
18,Commodities,9.0,2.1972245773362196
46,Forex,49.0,3.8918202981106265
54,Stocks,49.0,3.8918202981106265
67,Stocks,63.0,4.143134726391533
15,Stocks,11.0,2.3978952727983707
47,Stocks,43.0,3.7612001156935624
90,Stocks,92.0,4.5217885770490405
7,Real_Estates,12.0,12.0
59,Forex,52.0,3.9512437185814275
95,Real_Estates,99.0,4.59511985013459
63,Stocks,61.0,4.110873864173311
55,Real_Estates,65.0,4.174387269895637
28,Cryptocurrencies,35.0,3.5553480614894135
100,Commodities,90.0,4.499809670330265
4,Real_Estates,-1.0,-1.0
43,Stocks,38.0,3.6375861597263857
45,Commodities,36.0,3.58351893845611
19,Stocks,17.0,2.833213344056216
57,Real_Estates,46.0,3.828641396489095
45,Real_Estates,30.0,3.4011973816621555
27,Cryptocurrencies,24.0,3.1780538303479458
41,Cryptocurrencies,45.0,3.8066624897703196
12,Cryptocurrencies,7.0,1.9459101490553132
71,Cryptocurrencies,68.0,4.219507705176107
42,Commodities,46.0,3.828641396489095
51,Real_Estates,46.0,3.828641396489095
42,Cryptocurrencies,42.0,3.7376696182833684
33,Forex,29.0,3.367295829986474
79,Commodities,72.0,4.276666119016055
30,Real_Estates,24.0,3.1780538303479458
21,Forex,14.0,2.6390573296152584
19,Forex,22.0,3.091042453358316
43,Forex,40.0,3.6888794541139363
99,Cryptocurrencies,94.0,4.543294782270004
81,Cryptocurrencies,84.0,4.430816798843313
55,Cryptocurrencies,63.0,4.143134726391533
82,Forex,88.0,4.477336814478207
4,Commodities,11.0,11.0
52,Commodities,56.0,4.02535169073515
75,Forex,76.0,4.330733340286331
4,Forex,10.0,10.0
15,Commodities,12.0,2.4849066497880004
62,Real_Estates,68.0,4.219507705176107
14,Cryptocurrencies,19.0,2.9444389791664403
13,Cryptocurrencies,19.0,2.9444389791664403
88,Real_Estates,73.0,4.290459441148391
12,Cryptocurrencies,19.0,2.9444389791664403
5,Cryptocurrencies,-2.0,-2.0
22,Real_Estates,7.0,1.9459101490553132
67,Forex,63.0,4.143134726391533
29,Forex,28.0,3.332204510175204
4,Forex,-1.0,-1.0
80,Cryptocurrencies,80.0,4.382026634673881
45,Forex,41.0,3.713572066704308
96,Forex,101.0,4.61512051684126
23,Real_Estates,20.0,2.995732273553991
6,Cryptocurrencies,3.0,3.0
89,Stocks,91.0,4.51085950651685
91,Real_Estates,100.0,4.605170185988092
42,Stocks,46.0,3.828641396489095
27,Cryptocurrencies,32.0,3.4657359027997265
68,Commodities,75.0,4.31748811353631
13,Cryptocurrencies,21.0,3.044522437723423
62,Commodities,68.0,4.219507705176107
18,Stocks,17.0,2.833213344056216
87,Real_Estates,85.0,4.442651256490317
3,Real_Estates,-8.0,-8.0
17,Cryptocurrencies,23.0,3.1354942159291497
19,Cryptocurrencies,14.0,2.6390573296152584
37,Forex,35.0,3.5553480614894135
96,Real_Estates,84.0,4.430816798843313
53,Commodities,63.0,4.143134726391533
87,Real_Estates,101.0,4.61512051684126
14,Real_Estates,12.0,12.0
16,Cryptocurrencies,8.0,2.0794415416798357
40,Forex,42.0,3.7376696182833684
65,Stocks,65.0,4.174387269895637
67,Stocks,62.0,4.127134385045092
98,Stocks,94.0,4.543294782270004
62,Cryptocurrencies,62.0,4.127134385045092
37,Stocks,38.0,3.6375861597263857
36,Forex,29.0,3.367295829986474
30,Real_Estates,37.0,3.6109179126442243
52,Commodities,50.0,3.912023005428146
68,Commodities,68.0,4.219507705176107
78,Forex,79.0,4.3694478524670215
60,Cryptocurrencies,54.0,3.9889840465642745
63,Real_Estates,68.0,4.219507705176107
72,Forex,78.0,4.356708826689592
87,Forex,80.0,4.382026634673881
22,Stocks,20.0,2.995732273553991
47,Stocks,42.0,3.7376696182833684
19,Real_Estates,23.0,3.1354942159291497
33,Real_Estates,35.0,3.5553480614894135
72,Commodities,72.0,4.276666119016055
29,Forex,32.0,3.4657359027997265
15,Forex,20.0,2.995732273553991
79,Cryptocurrencies,76.0,4.330733340286331
72,Real_Estates,77.0,4.343805421853684
94,Stocks,89.0,4.48863636973214
79,Stocks,79.0,4.3694478524670215
77,Commodities,75.0,4.31748811353631
65,Stocks,64.0,4.1588830833596715
99,Cryptocurrencies,93.0,4.532599493153256
7,Real_Estates,10.0,10.0
33,Forex,27.0,3.295836866004329
86,Real_Estates,85.0,4.442651256490317
64,Forex,67.0,4.204692619390966
93,Real_Estates,109.0,4.6913478822291435
25,Forex,19.0,2.9444389791664403
38,Real_Estates,47.0,3.8501476017100584
24,Commodities,32.0,3.4657359027997265
77,Forex,72.0,4.276666119016055
22,Stocks,17.0,2.833213344056216
96,Forex,92.0,4.5217885770490405
45,Real_Estates,55.0,4.007333185232471
58,Cryptocurrencies,51.0,3.9318256327243257
72,Cryptocurrencies,73.0,4.290459441148391
86,Commodities,77.0,4.343805421853684
47,Forex,49.0,3.8918202981106265
49,Forex,43.0,3.7612001156935624
96,Commodities,105.0,4.653960350157523
80,Real_Estates,94.0,4.543294782270004
53,Stocks,50.0,3.912023005428146
33,Forex,35.0,3.5553480614894135
80,Real_Estates,72.0,4.276666119016055
93,Real_Estates,103.0,4.634728988229636
88,Commodities,86.0,4.454347296253507
74,Forex,71.0,4.2626798770413155
44,Commodities,41.0,3.713572066704308
79,Cryptocurrencies,79.0,4.3694478524670215
9,Real_Estates,6.0,6.0
67,Stocks,63.0,4.143134726391533
66,Cryptocurrencies,64.0,4.1588830833596715
33,Forex,34.0,3.5263605246161616
26,Forex,27.0,3.295836866004329
95,Real_Estates,96.0,4.564348191467836
27,Forex,29.0,3.367295829986474
51,Cryptocurrencies,54.0,3.9889840465642745
81,Cryptocurrencies,76.0,4.330733340286331
32,Commodities,31.0,3.4339872044851463
71,Commodities,61.0,4.110873864173311
7,Commodities,17.0,17.0
38,Forex,40.0,3.6888794541139363
12,Commodities,20.0,2.995732273553991
28,Cryptocurrencies,27.0,3.295836866004329
15,Cryptocurrencies,15.0,2.70805020110221
4,Forex,10.0,10.0
62,Stocks,64.0,4.1588830833596715
87,Forex,84.0,4.430816798843313
40,Forex,33.0,3.4965075614664802
60,Real_Estates,48.0,3.871201010907891
77,Commodities,67.0,4.204692619390966
85,Forex,91.0,4.51085950651685
44,Forex,37.0,3.6109179126442243
56,Cryptocurrencies,55.0,4.007333185232471
89,Cryptocurrencies,82.0,4.406719247264253
72,Forex,68.0,4.219507705176107
93,Cryptocurrencies,89.0,4.48863636973214
40,Cryptocurrencies,46.0,3.828641396489095
3,Commodities,11.0,11.0
34,Cryptocurrencies,34.0,3.5263605246161616
82,Cryptocurrencies,86.0,4.454347296253507
96,Forex,98.0,4.584967478670572
22,Stocks,18.0,2.8903717578961645
81,Commodities,81.0,4.394449154672439
90,Cryptocurrencies,87.0,4.465908118654584
88,Cryptocurrencies,86.0,4.454347296253507
88,Commodities,89.0,4.48863636973214
44,Stocks,42.0,3.7376696182833684
68,Real_Estates,57.0,4.04305126783455
9,Real_Estates,20.0,20.0
100,Real_Estates,115.0,4.74493212836325
28,Real_Estates,34.0,3.5263605246161616
75,Commodities,81.0,4.394449154672439
46,Real_Estates,40.0,3.6888794541139363
48,Stocks,51.0,3.9318256327243257
14,Commodities,5.0,1.6094379124341003
59,Stocks,57.0,4.04305126783455
65,Real_Estates,78.0,4.356708826689592
77,Real_Estates,90.0,4.499809670330265
75,Real_Estates,74.0,4.30406509320417
70,Cryptocurrencies,78.0,4.356708826689592
53,Forex,52.0,3.9512437185814275
70,Stocks,73.0,4.290459441148391
48,Forex,47.0,3.8501476017100584
14,Cryptocurrencies,12.0,2.4849066497880004
12,Real_Estates,21.0,21.0
88,Forex,90.0,4.499809670330265
19,Cryptocurrencies,26.0,3.258096538021482
98,Cryptocurrencies,95.0,4.553876891600541
43,Commodities,34.0,3.5263605246161616
83,Real_Estates,70.0,4.248495242049359
95,Real_Estates,78.0,4.356708826689592
97,Stocks,94.0,4.543294782270004
54,Real_Estates,64.0,4.1588830833596715
47,Commodities,36.0,3.58351893845611
38,Forex,31.0,3.4339872044851463
26,Commodities,15.0,2.70805020110221
71,Commodities,79.0,4.3694478524670215
37,Commodities,32.0,3.4657359027997265
42,Real_Estates,27.0,3.295836866004329
97,Commodities,86.0,4.454347296253507
31,Stocks,34.0,3.5263605246161616
29,Stocks,30.0,3.4011973816621555
73,Cryptocurrencies,67.0,4.204692619390966
57,Commodities,51.0,3.9318256327243257
67,Forex,61.0,4.110873864173311
20,Stocks,20.0,2.995732273553991
42,Stocks,42.0,3.7376696182833684
72,Real_Estates,58.0,4.060443010546419
8,Commodities,2.0,2.0
55,Commodities,48.0,3.871201010907891
42,Real_Estates,46.0,3.828641396489095
99,Forex,98.0,4.584967478670572
73,Forex,71.0,4.2626798770413155
5,Forex,6.0,6.0
32,Stocks,36.0,3.58351893845611
42,Stocks,37.0,3.6109179126442243
95,Cryptocurrencies,92.0,4.5217885770490405
100,Real_Estates,91.0,4.51085950651685
61,Commodities,57.0,4.04305126783455
13,Forex,11.0,2.3978952727983707
42,Commodities,40.0,3.6888794541139363
53,Commodities,61.0,4.110873864173311
49,Forex,46.0,3.828641396489095
100,Real_Estates,86.0,4.454347296253507
73,Cryptocurrencies,71.0,4.2626798770413155
31,Commodities,32.0,3.4657359027997265
6,Commodities,14.0,14.0
77,Cryptocurrencies,82.0,4.406719247264253
77,Cryptocurrencies,69.0,4.23410650459726
61,Stocks,65.0,4.174387269895637
84,Real_Estates,87.0,4.465908118654584
66,Forex,60.0,4.0943445622221
80,Forex,75.0,4.31748811353631
65,Commodities,64.0,4.1588830833596715
46,Forex,41.0,3.713572066704308
54,Real_Estates,64.0,4.1588830833596715
88,Stocks,84.0,4.430816798843313
84,Real_Estates,98.0,4.584967478670572
30,Commodities,38.0,3.6375861597263857
87,Commodities,83.0,4.418840607796598
59,Cryptocurrencies,53.0,3.970291913552122
5,Stocks,9.0,9.0
45,Cryptocurrencies,45.0,3.8066624897703196
62,Cryptocurrencies,55.0,4.007333185232471
59,Real_Estates,68.0,4.219507705176107
14,Commodities,5.0,1.6094379124341003
71,Forex,77.0,4.343805421853684
91,Real_Estates,80.0,4.382026634673881
20,Real_Estates,31.0,3.4339872044851463
64,Commodities,61.0,4.110873864173311
68,Stocks,67.0,4.204692619390966
45,Forex,47.0,3.8501476017100584
69,Forex,71.0,4.2626798770413155
95,Forex,101.0,4.61512051684126
26,Forex,27.0,3.295836866004329
93,Commodities,85.0,4.442651256490317
84,Cryptocurrencies,84.0,4.430816798843313
81,Forex,74.0,4.30406509320417
4,Stocks,8.0,8.0
95,Cryptocurrencies,95.0,4.553876891600541
23,Stocks,27.0,3.295836866004329
24,Forex,29.0,3.367295829986474
85,Commodities,94.0,4.543294782270004
48,Real_Estates,54.0,3.9889840465642745
18,Forex,18.0,2.8903717578961645
20,Cryptocurrencies,18.0,2.8903717578961645
77,Commodities,84.0,4.430816798843313
42,Stocks,40.0,3.6888794541139363
51,Real_Estates,40.0,3.6888794541139363
97,Forex,96.0,4.564348191467836
20,Cryptocurrencies,15.0,2.70805020110221
17,Commodities,27.0,3.295836866004329
62,Cryptocurrencies,57.0,4.04305126783455
42,Stocks,44.0,3.784189633918261
15,Cryptocurrencies,12.0,2.4849066497880004
22,Stocks,20.0,2.995732273553991
92,Cryptocurrencies,88.0,4.477336814478207
2,Forex,0.0,0.0
4,Cryptocurrencies,9.0,9.0
1,Stocks,-1.0,-1.0
99,Forex,97.0,4.574710978503383
30,Real_Estates,42.0,3.7376696182833684
63,Cryptocurrencies,60.0,4.0943445622221
86,Real_Estates,92.0,4.5217885770490405
56,Commodities,50.0,3.912023005428146
82,Real_Estates,66.0,4.189654742026425
84,Forex,89.0,4.48863636973214
18,Commodities,17.0,2.833213344056216
45,Cryptocurrencies,45.0,3.8066624897703196
92,Stocks,94.0,4.543294782270004
48,Real_Estates,52.0,3.9512437185814275
9,Cryptocurrencies,8.0,8.0
6,Stocks,6.0,1.791759469228055
35,Cryptocurrencies,36.0,3.58351893845611
73,Real_Estates,79.0,4.3694478524670215
80,Cryptocurrencies,75.0,4.31748811353631
42,Commodities,50.0,3.912023005428146
73,Real_Estates,62.0,4.127134385045092
50,Cryptocurrencies,55.0,4.007333185232471
11,Forex,5.0,1.6094379124341003
23,Stocks,19.0,2.9444389791664403
9,Forex,11.0,2.3978952727983707
70,Cryptocurrencies,64.0,4.1588830833596715
72,Stocks,71.0,4.2626798770413155
52,Forex,58.0,4.060443010546419
55,Commodities,59.0,4.07753744390572
64,Commodities,74.0,4.30406509320417
57,Forex,50.0,3.912023005428146
42,Stocks,41.0,3.713572066704308
65,Cryptocurrencies,69.0,4.23410650459726
24,Real_Estates,38.0,3.6375861597263857
32,Real_Estates,38.0,3.6375861597263857
90,Commodities,90.0,4.499809670330265
21,Stocks,20.0,2.995732273553991
59,Forex,62.0,4.127134385045092
60,Stocks,64.0,4.1588830833596715
51,Cryptocurrencies,45.0,3.8066624897703196
23,Real_Estates,24.0,3.1780538303479458
86,Cryptocurrencies,92.0,4.5217885770490405
58,Real_Estates,43.0,3.7612001156935624
8,Real_Estates,3.0,3.0
31,Commodities,22.0,3.091042453358316
45,Cryptocurrencies,40.0,3.6888794541139363
44,Commodities,35.0,3.5553480614894135
81,Stocks,85.0,4.442651256490317
52,Stocks,49.0,3.8918202981106265
69,Real_Estates,56.0,4.02535169073515
97,Forex,101.0,4.61512051684126
14,Commodities,18.0,2.8903717578961645
97,Stocks,99.0,4.59511985013459
85,Cryptocurrencies,93.0,4.532599493153256
67,Commodities,62.0,4.127134385045092
77,Cryptocurrencies,73.0,4.290459441148391
81,Cryptocurrencies,86.0,4.454347296253507
34,Forex,32.0,3.4657359027997265
64,Forex,67.0,4.204692619390966
94,Real_Estates,87.0,4.465908118654584
85,Real_Estates,84.0,4.430816798843313
98,Stocks,93.0,4.532599493153256
13,Forex,8.0,2.0794415416798357
20,Forex,14.0,2.6390573296152584
8,Cryptocurrencies,-1.0,-1.0
29,Stocks,26.0,3.258096538021482
28,Cryptocurrencies,27.0,3.295836866004329
72,Stocks,76.0,4.330733340286331
26,Stocks,29.0,3.367295829986474
87,Commodities,84.0,4.430816798843313
36,Forex,41.0,3.713572066704308
58,Commodities,49.0,3.8918202981106265
99,Real_Estates,90.0,4.499809670330265
52,Stocks,56.0,4.02535169073515
64,Commodities,62.0,4.127134385045092
62,Stocks,65.0,4.174387269895637
60,Stocks,60.0,4.0943445622221
75,Real_Estates,60.0,4.0943445622221
54,Stocks,51.0,3.9318256327243257
38,Real_Estates,33.0,3.4965075614664802
24,Cryptocurrencies,17.0,2.833213344056216
55,Commodities,50.0,3.912023005428146
49,Stocks,45.0,3.8066624897703196
45,Real_Estates,32.0,3.4657359027997265
59,Forex,63.0,4.143134726391533
12,Cryptocurrencies,12.0,2.4849066497880004
9,Cryptocurrencies,5.0,5.0
46,Real_Estates,49.0,3.8918202981106265
18,Forex,21.0,3.044522437723423
52,Real_Estates,59.0,4.07753744390572
78,Stocks,78.0,4.356708826689592
95,Stocks,96.0,4.564348191467836
47,Real_Estates,44.0,3.784189633918261
89,Stocks,93.0,4.532599493153256
51,Stocks,52.0,3.9512437185814275
83,Stocks,81.0,4.394449154672439
71,Forex,70.0,4.248495242049359
10,Cryptocurrencies,14.0,2.6390573296152584
5,Commodities,10.0,10.0
98,Stocks,96.0,4.564348191467836
48,Real_Estates,37.0,3.6109179126442243
50,Stocks,51.0,3.9318256327243257
47,Stocks,51.0,3.9318256327243257
33,Commodities,24.0,3.1780538303479458
88,Real_Estates,78.0,4.356708826689592
77,Commodities,78.0,4.356708826689592
77,Commodities,84.0,4.430816798843313
40,Commodities,33.0,3.4965075614664802
76,Real_Estates,71.0,4.2626798770413155
39,Stocks,35.0,3.5553480614894135
67,Stocks,69.0,4.23410650459726
28,Real_Estates,21.0,3.044522437723423
53,Stocks,55.0,4.007333185232471
37,Real_Estates,22.0,3.091042453358316
63,Forex,63.0,4.143134726391533
73,Forex,70.0,4.248495242049359
11,Forex,5.0,1.6094379124341003
6,Real_Estates,19.0,19.0
100,Cryptocurrencies,94.0,4.543294782270004
5,Forex,1.0,1.0
73,Cryptocurrencies,68.0,4.219507705176107
39,Cryptocurrencies,32.0,3.4657359027997265
89,Real_Estates,75.0,4.31748811353631
35,Cryptocurrencies,38.0,3.6375861597263857
45,Real_Estates,28.0,3.332204510175204
29,Commodities,20.0,2.995732273553991
59,Real_Estates,48.0,3.871201010907891
83,Forex,79.0,4.3694478524670215
30,Cryptocurrencies,25.0,3.2188758248682006
37,Real_Estates,36.0,3.58351893845611
91,Cryptocurrencies,89.0,4.48863636973214
59,Forex,59.0,4.07753744390572
55,Real_Estates,56.0,4.02535169073515
59,Forex,64.0,4.1588830833596715
38,Stocks,40.0,3.6888794541139363
5,Forex,8.0,8.0
26,Cryptocurrencies,34.0,3.5263605246161616
17,Forex,22.0,3.091042453358316
15,Cryptocurrencies,23.0,3.1354942159291497
98,Real_Estates,113.0,4.727387818712341
5,Stocks,2.0,2.0
49,Real_Estates,34.0,3.5263605246161616
30,Stocks,34.0,3.5263605246161616
17,Commodities,25.0,3.2188758248682006
82,Stocks,86.0,4.454347296253507
29,Real_Estates,28.0,3.332204510175204
92,Cryptocurrencies,90.0,4.499809670330265
47,Commodities,49.0,3.8918202981106265
46,Commodities,35.0,3.5553480614894135
74,Stocks,71.0,4.2626798770413155
27,Real_Estates,16.0,2.772588722239781
33,Stocks,36.0,3.58351893845611
10,Cryptocurrencies,6.0,1.791759469228055
39,Forex,40.0,3.6888794541139363
16,Real_Estates,0.0,0.0
45,Stocks,49.0,3.8918202981106265
82,Forex,78.0,4.356708826689592
98,Commodities,104.0,4.6443908991413725
85,Stocks,82.0,4.406719247264253
76,Stocks,74.0,4.30406509320417
17,Forex,17.0,2.833213344056216
79,Real_Estates,79.0,4.3694478524670215
1,Cryptocurrencies,-6.0,-6.0
58,Forex,60.0,4.0943445622221
70,Real_Estates,55.0,4.007333185232471
51,Stocks,55.0,4.007333185232471
71,Commodities,79.0,4.3694478524670215
44,Real_Estates,33.0,3.4965075614664802
37,Cryptocurrencies,37.0,3.6109179126442243
53,Cryptocurrencies,51.0,3.9318256327243257
10,Commodities,1.0,1.0
14,Cryptocurrencies,5.0,1.6094379124341003
53,Stocks,53.0,3.970291913552122
41,Real_Estates,29.0,3.367295829986474
66,Cryptocurrencies,65.0,4.174387269895637
25,Commodities,14.0,2.6390573296152584
48,Stocks,45.0,3.8066624897703196
57,Cryptocurrencies,55.0,4.007333185232471
99,Real_Estates,99.0,4.59511985013459
80,Cryptocurrencies,73.0,4.290459441148391
22,Commodities,26.0,3.258096538021482
67,Commodities,73.0,4.290459441148391
14,Commodities,13.0,2.5649493574615367
5,Commodities,-2.0,-2.0
62,Commodities,55.0,4.007333185232471
17,Real_Estates,11.0,11.0
26,Commodities,35.0,3.5553480614894135
16,Forex,14.0,2.6390573296152584
74,Real_Estates,83.0,4.418840607796598
58,Cryptocurrencies,53.0,3.970291913552122
20,Cryptocurrencies,20.0,2.995732273553991
32,Forex,34.0,3.5263605246161616
82,Forex,80.0,4.382026634673881
22,Forex,21.0,3.044522437723423
76,Stocks,76.0,4.330733340286331
2,Cryptocurrencies,-4.0,-4.0
53,Forex,57.0,4.04305126783455
2,Cryptocurrencies,0.0,0.0
79,Real_Estates,79.0,4.3694478524670215
54,Cryptocurrencies,51.0,3.9318256327243257
97,Real_Estates,96.0,4.564348191467836
41,Forex,36.0,3.58351893845611
59,Real_Estates,66.0,4.189654742026425
25,Forex,27.0,3.295836866004329
12,Commodities,9.0,2.1972245773362196
19,Stocks,14.0,2.6390573296152584
74,Commodities,83.0,4.418840607796598
1,Forex,0.0,0.0
9,Forex,13.0,2.5649493574615367
23,Forex,20.0,2.995732273553991
17,Commodities,24.0,3.1780538303479458
22,Cryptocurrencies,22.0,3.091042453358316
7,Real_Estates,-2.0,-2.0
80,Cryptocurrencies,82.0,4.406719247264253
87,Stocks,84.0,4.430816798843313
10,Commodities,5.0,5.0
17,Forex,18.0,2.8903717578961645
58,Forex,57.0,4.04305126783455
96,Commodities,86.0,4.454347296253507
17,Commodities,24.0,3.1780538303479458
91,Real_Estates,83.0,4.418840607796598
93,Real_Estates,108.0,4.68213122712422
72,Real_Estates,71.0,4.2626798770413155
83,Cryptocurrencies,77.0,4.343805421853684
8,Cryptocurrencies,5.0,5.0
55,Cryptocurrencies,54.0,3.9889840465642745
75,Forex,78.0,4.356708826689592
55,Commodities,44.0,3.784189633918261
94,Cryptocurrencies,94.0,4.543294782270004
51,Real_Estates,49.0,3.8918202981106265
5,Commodities,12.0,12.0
18,Cryptocurrencies,16.0,2.772588722239781
78,Commodities,82.0,4.406719247264253
30,Stocks,34.0,3.5263605246161616
46,Stocks,46.0,3.828641396489095
74,Cryptocurrencies,69.0,4.23410650459726
37,Real_Estates,48.0,3.871201010907891
3,Real_Estates,-5.0,-5.0
83,Commodities,88.0,4.477336814478207
65,Forex,58.0,4.060443010546419
26,Cryptocurrencies,17.0,2.833213344056216
74,Cryptocurrencies,68.0,4.219507705176107
35,Forex,34.0,3.5263605246161616
97,Cryptocurrencies,103.0,4.634728988229636
43,Commodities,53.0,3.970291913552122
25,Cryptocurrencies,19.0,2.9444389791664403
51,Real_Estates,62.0,4.127134385045092
19,Real_Estates,17.0,2.833213344056216
75,Commodities,73.0,4.290459441148391
64,Real_Estates,62.0,4.127134385045092
70,Commodities,62.0,4.127134385045092
39,Commodities,37.0,3.6109179126442243
6,Stocks,9.0,2.1972245773362196
95,Forex,88.0,4.477336814478207
10,Forex,3.0,1.0986122886681098
18,Cryptocurrencies,13.0,2.5649493574615367
80,Cryptocurrencies,84.0,4.430816798843313
14,Commodities,5.0,1.6094379124341003
10,Forex,5.0,1.6094379124341003
54,Cryptocurrencies,57.0,4.04305126783455
15,Cryptocurrencies,17.0,2.833213344056216
29,Cryptocurrencies,20.0,2.995732273553991
69,Commodities,69.0,4.23410650459726
94,Commodities,96.0,4.564348191467836
77,Commodities,74.0,4.30406509320417
5,Forex,8.0,8.0
6,Forex,7.0,7.0
64,Cryptocurrencies,65.0,4.174387269895637
6,Cryptocurrencies,2.0,2.0
93,Commodities,98.0,4.584967478670572
42,Real_Estates,32.0,3.4657359027997265
18,Forex,24.0,3.1780538303479458
2,Commodities,12.0,12.0
90,Cryptocurrencies,91.0,4.51085950651685
61,Cryptocurrencies,61.0,4.110873864173311
52,Commodities,41.0,3.713572066704308
80,Commodities,88.0,4.477336814478207
61,Commodities,55.0,4.007333185232471
31,Real_Estates,36.0,3.58351893845611
